Price,SuperBuild,BHK,Total_Sq_Ft,Floor
₹ 58 Lac,0,"
3 BHK Apartment
",1198 sqft,1 out of 5 floors
₹ 67 Lac,0,"
5 BHK Builder Floor
",1300 sqft,4 out of 4 floors
₹ 35 Lac,₹ 3256,"
3 BHK Apartment
",1075 sqft,1 out of 4 floors
₹ 27 Lac,0,"
2 BHK Apartment
",740 sqft,Ground out of 5 floors
₹ 40 Lac,₹ 3174,"
3 BHK Apartment
",1260 sqft,3 out of 4 floors
₹ 77.5 Lac,0,"
3 BHK Apartment
",945 sqft,3 out of 4 floors
₹ 45 Lac,0,"
3 BHK Apartment
",1200 sqm,3 out of 3 floors
₹ 52 Lac,₹ 5439,"
2 BHK Apartment
",956 sqft,1 out of 6 floors
₹ 42 Lac,₹ 2847,"
3 BHK Apartment
",1475 sqft,1 out of 4 floors
₹ 75 Lac,₹ 5859,"
3 BHK Apartment
",1280 sqft,1 out of 8 floors
₹ 79 Lac,₹ 5467,"
3 BHK Apartment
",1445 sqft,3 out of 6 floors
